Country Name,Agriculture (% of GDP)
Angola,9.110107424
Benin,27.10917504
Botswana,2.130881381
Burkina Faso,18.39807893
Burundi,28.62494556
Cabo Verde,4.864050185
Cameroon,17.38179045
Central African Republic,29.49593723
Chad,46.83284533
Comoros,35.78286215
"Congo, Dem. Rep.",20.88341888
Cote d'Ivoire,21.38539185
Equatorial Guinea,2.913124655
Eswatini,8.363605499
Ethiopia,35.55826935
Gabon,6.65899101
"Gambia, The",20.97683017
Ghana,18.85378266
Guinea,25.73663057
Guinea-Bissau,30.86324475
Kenya,22.62100885
Lesotho,4.742681751
Liberia,41.05196571
Madagascar,24.7993165
Malawi,22.65520608
Mali,36.18804497
Mauritania,20.18792117
Mauritius,3.40631684
Mozambique,25.57742107
Namibia,9.186009796
Niger,38.38472532
Nigeria,24.14330587
Rwanda,26.63087486
Sao Tome and Principe,13.991797
Senegal,16.21585473
Seychelles,2.472223536
Sierra Leone,59.48739589
South Africa,2.527584146
South Sudan,9.575404638
Sudan,20.35627523
Tanzania,26.73711127
Togo,18.77664831
Uganda,23.92903372
Zambia,2.977086346
Zimbabwe,7.607100619
